"","ID","lake","goby","point","pointL","x","y"
"247","MIS20_G17_L2.JPG ","MIS20","G17",7,"G",62.69119622,25.539064759
"248","MIS20_G17_L2.JPG ","MIS20","G17",8,"H",57.834029016,10.5390160288
"249","MIS20_G17_L2.JPG ","MIS20","G17",9,"I",49.834010296,15.9676043791
"250","MIS20_G17_L2.JPG ","MIS20","G17",10,"J",43.548284547,19.1104695253
"251","MIS20_G17_L2.JPG ","MIS20","G17",11,"K",42.262570498,21.2533346032
"252","MIS20_G17_L2.JPG ","MIS20","G17",12,"L",36.405400954,22.967613944
"253","MIS20_G18_L2.JPG ","MIS20","G18",1,"A",37.639375079,21.7954099256
"254","MIS20_G18_L2.JPG ","MIS20","G18",2,"B",37.806052446,22.9620719856
"255","MIS20_G18_L2.JPG ","MIS20","G18",3,"C",45.139353037,29.295382583
"256","MIS20_G18_L2.JPG ","MIS20","G18",4,"D",49.306022182,29.128731719
"257","MIS20_G18_L2.JPG ","MIS20","G18",5,"E",50.639335106,33.128696994
"258","MIS20_G18_L2.JPG ","MIS20","G18",6,"F",64.639306329,34.962042019
"259","MIS20_G18_L2.JPG ","MIS20","G18",7,"G",64.97263456,29.128731719
"260","MIS20_G18_L2.JPG ","MIS20","G18",8,"H",65.305962791,11.4621102005
"261","MIS20_G18_L2.JPG ","MIS20","G18",9,"I",52.806008362,16.4620946224
"262","MIS20_G18_L2.JPG ","MIS20","G18",10,"J",44.639347439,18.7954213927
"263","MIS20_G18_L2.JPG ","MIS20","G18",11,"K",43.639362746,20.7954146314
"264","MIS20_G18_L2.JPG ","MIS20","G18",12,"L",37.806052446,19.9620834527
"265","MIS20_G19_L2.JPG ","MIS20","G19",1,"A",33.635807784,20.6157540071
"266","MIS20_G19_L2.JPG ","MIS20","G19",2,"B",33.918651937,22.4542612417
"267","MIS20_G19_L2.JPG ","MIS20","G19",3,"C",40.989845718,28.111205022
"268","MIS20_G19_L2.JPG ","MIS20","G19",4,"D",45.515419633,27.828360869
"269","MIS20_G19_L2.JPG ","MIS20","G19",5,"E",46.505385413,31.363969004
"270","MIS20_G19_L2.JPG ","MIS20","G19",6,"F",61.496305434,33.768155549
"271","MIS20_G19_L2.JPG ","MIS20","G19",7,"G",61.920560419,28.95975997
"272","MIS20_G19_L2.JPG ","MIS20","G19",8,"H",60.930594639,10.1503921588
"273","MIS20_G19_L2.JPG ","MIS20","G19",9,"I",49.899537738,15.241649882
"274","MIS20_G19_L2.JPG ","MIS20","G19",10,"J",41.979811498,17.3630057674
"275","MIS20_G19_L2.JPG ","MIS20","G19",11,"K",39.999879938,19.6257859782
"276","MIS20_G19_L2.JPG ","MIS20","G19",12,"L",33.352963631,19.2015152509
"277","MIS20_G20_L2.JPG ","MIS20","G20",1,"A",23.36724817,17.58963795
"278","MIS20_G20_L2.JPG ","MIS20","G20",2,"B",23.864770759,18.98269487
"279","MIS20_G20_L2.JPG ","MIS20","G20",3,"C",29.437014262,22.166820452
"280","MIS20_G20_L2.JPG ","MIS20","G20",4,"D",33.019151586,21.76880871
"281","MIS20_G20_L2.JPG ","MIS20","G20",5,"E",34.014196764,24.156910808
"282","MIS20_G20_L2.JPG ","MIS20","G20",6,"F",44.760640382,25.450456881
"283","MIS20_G20_L2.JPG ","MIS20","G20",7,"G",44.462139487,21.569802839
"284","MIS20_G20_L2.JPG ","MIS20","G20",8,"H",44.561634511,7.9377329517
